Product ID,Name,$ Price:,Quantity,Category,Description,Production Date,Expiration Date,Rating,Status
33,Творог,473,208,Молочные продукты,"Отличается высоким содержанием ликопина, каротиноида, полезного для здоровья простаты и кожи.",2030-07-06,2030-07-06,3.05,In Stock
34,Портулак,7055,265,Овощи,Представляет собой ценный источник питательных веществ для растущего организма.,2016-06-06,2016-06-06,2.93,Backorder
35,Сулинка,1322,488,Напитки,Помогает поддерживать нормальный уровень триглицеридов в крови.,2024-01-08,2024-01-08,1.59,Delivered
36,Фейхоа,9027,467,Фрукты,"Отличается высоким содержанием рибофлавина, необходимого для здоровья кожи и зрения.",2024-04-02,2024-04-02,4.39,Pending
37,Укроп,5173,52,Овощи,Отличается гипоаллергенностью и безопасностью для большинства людей.,2005-02-06,2005-02-06,2.59,Awaiting Review
38,Анис звездчатый,4847,176,Бакалея,Служит основой для создания множества кулинарных шедевров.,2008-09-21,2008-09-21,4.64,Shipping
39,Рыбинская,3274,744,Напитки,Помогает поддерживать нормальный уровень холестерина в крови.,2009-02-24,2009-02-24,3.74,New
40,Мацони,6852,354,Молочные продукты,"Отличается высоким содержанием таурина, необходимого для здоровья глаз и сердца.",2023-02-01,2023-02-01,4.95,New
41,Ребрышки,5568,74,Мясо,"Отличается высоким содержанием таурина, необходимого для здоровья глаз и сердца.",2006-02-11,2006-02-11,2.98,Returned
42,Каша из дробленной овсянки,4979,424,Бакалея,Помогает укрепить иммунную систему и защитить организм от инфекций.,2030-04-24,2030-04-24,1.86,Out of Stock
43,Кефир,8930,371,Молочные продукты,"Отличается высоким содержанием эвгенола, вещества, обладающего обезболивающими и антисептическими свойствами.",2018-02-04,2018-02-04,0.96,Refunded
44,Сельдерей,7247,68,Овощи,"Помогает поддерживать нормальный уровень нарингина, флавоноида, полезного для снижения уровня холестерина и улучшения пищеварения.",2011-05-18,2011-05-18,0.32,Cancelled
45,Сметана,369,228,Молочные продукты,Помогает поддерживать нормальный уровень pH в организме.,2021-02-11,2021-02-11,3.07,Temporarily Unavailable
46,Vittel,8437,661,Напитки,"Помогает поддерживать здоровую кожу, волосы и ногти благодаря содержанию биотина.",2030-03-09,2030-03-09,2.58,Temporarily Unavailable
47,Киви,7856,564,Фрукты,"Отличается высоким содержанием астаксантина, мощного антиоксиданта, полезного для кожи и суставов.",2002-05-03,2002-05-03,0.99,Sold
48,Черника,8824,728,Фрукты,Отличается высокой питательностью и способен быстро утолить голод.,2019-04-26,2019-04-26,1.43,On Backorder
49,Сельдерей сушеный,1529,295,Бакалея,"Помогает поддерживать нормальный уровень кемпферола, флавоноида, полезного для здоровья сердца и сосудов.",2012-06-03,2012-06-03,1.99,Sold
50,Яблоко,4818,962,Фрукты,Способствует снижению уровня стресса и улучшению настроения.,1999-02-09,1999-02-09,4.81,Returned
51,Голландский сыр,3924,577,Молочные продукты,Способствует поддержанию нормальной микрофлоры кишечника.,2008-07-09,2008-07-09,1.66,Available for Pickup
52,Сметана,2494,384,Молочные продукты,Помогает поддерживать мышечную массу и улучшает спортивные результаты.,2028-05-02,2028-05-02,0.16,On Backorder
53,Березовский родник,5112,846,Напитки,"Помогает поддерживать нормальный уровень апигенина, флавоноида, полезного для здоровья мозга и иммунной системы.",2024-09-10,2024-09-10,2.46,Delivered
54,Шпинат,3352,171,Овощи,"Помогает поддерживать нормальный уровень кемпферола, флавоноида, полезного для здоровья сердца и сосудов.",2020-04-12,2020-04-12,0.27,Awaiting Review
55,Рамбутан,236,289,Фрукты,Отличается хорошим сочетанием с различными специями и приправами.,2030-05-05,2030-05-05,3.48,Pending
56,Ананас,179,743,Фрукты,"Помогает поддерживать нормальный уровень кемпферола, флавоноида, полезного для здоровья сердца и сосудов.",2020-06-20,2020-06-20,4.47,New
57,Каша из дробленной кукурузной крупы,976,301,Бакалея,"Отличается высоким содержанием селена, важного для антиоксидантной защиты организма.",2023-02-11,2023-02-11,4.21,Delivered
58,Карамбола,7445,244,Фрукты,"Является источником витаминов группы B, необходимых для энергетического обмена.",2018-06-04,2018-06-04,2.18,On Backorder
59,Крыжовник,3416,135,Фрукты,"Помогает поддерживать нормальный уровень зеаксантина, каротиноида, важного для здоровья глаз.",2017-05-08,2017-05-08,0.39,Refunded
60,Киноа,1740,908,Бакалея,"Обладает антиоксидантными свойствами, защищающими клетки от повреждений.",2026-02-07,2026-02-07,2.61,Shipping
61,Черешня,8684,32,Фрукты,Отличается хорошей совместимостью с другими продуктами питания.,2025-01-27,2025-01-27,1.23,Refunded
62,Шалфей сушеный,4262,784,Бакалея,"Отличается высоким содержанием биотина, необходимого для здоровья волос, кожи и ногтей.",2026-06-03,2026-06-03,2.98,New
63,Пакеты для Пасхи,981,673,Товары для дома,Помогает поддерживать нормальный уровень триглицеридов в крови.,2010-03-17,2010-03-17,0.82,Sold
64,Энчиладас с мясом,1282,254,Мясо,Помогает поддерживать здоровье нервной системы благодаря содержанию магния.,2017-08-10,2017-08-10,0.37,Awaiting Payment
65,Фенхель,7885,765,Овощи,Способствует улучшению работы пищеварительной системы.,2001-05-10,2001-05-10,2.35,Pending
66,Петрушка корневая,1561,667,Овощи,Отличается низкой калорийностью и высоким содержанием белка.,2001-01-01,2001-01-01,2.94,Delivered
67,Пакеты для тренинга,8308,472,Товары для дома,"Отличается низким содержанием натрия, что делает его безопасным для гипертоников.",2023-06-01,2023-06-01,0.07,Awaiting Review
68,Патиссон,4958,845,Овощи,"Помогает поддерживать нормальный уровень нарингина, флавоноида, полезного для снижения уровня холестерина и улучшения пищеварения.",2024-03-06,2024-03-06,4.59,Backorder
69,Южно-Сахалинская,2166,347,Напитки,Помогает предотвратить дефицит витаминов и минералов в организме.,2022-04-09,2022-04-09,4.6,Delivered
70,Кролик,2728,43,Мясо,Отличается низкой вероятностью возникновения побочных эффектов при употреблении.,2019-01-09,2019-01-09,3.55,Cancelled
71,Мандарин,7552,524,Фрукты,"Помогает поддерживать нормальный уровень цистеина, аминокислоты, участвующей в синтезе глутатиона.",2027-05-05,2027-05-05,2.52,Refunded
72,Капуста белокочанная,8102,181,Овощи,Помогает поддерживать нормальный уровень глюкозы в крови.,2017-12-09,2017-12-09,1.18,New
73,Варенец,8854,679,Молочные продукты,"Отличается высоким содержанием хлорогеновых кислот, веществ, способствующих снижению веса и контролю уровня сахара в крови.",2030-07-26,2030-07-26,0.52,Out of Stock
74,Шаверма,7412,297,Мясо,Помогает поддерживать нормальный уровень эстрогенов у женщин.,2012-01-12,2012-01-12,2.06,New
75,Пахта,1943,171,Молочные продукты,Помогает поддерживать нормальный уровень триглицеридов в крови.,2017-03-12,2017-03-12,3.71,Sold
76,Отбивная,828,743,Мясо,Помогает улучшить когнитивные функции и память.,2022-02-07,2022-02-07,0.87,Awaiting Payment
77,Лимон,5597,196,Фрукты,Помогает поддерживать нормальный уровень триглицеридов в крови.,2019-01-01,2019-01-01,0.23,Available for Pickup
78,Каша из кускуса,302,327,Бакалея,"Помогает поддерживать нормальный уровень дофамина, гормона, отвечающего за мотивацию и удовольствие.",2014-01-09,2014-01-09,0.74,Returned
79,Шпинат,6945,15,Овощи,Прошел тщательный отбор сырья и контроль на каждом этапе производства.,2027-04-01,2027-04-01,3.51,Cancelled
80,Ростовская-на-Дону,6368,995,Напитки,"Отличается высоким содержанием калия, необходимого для нормальной работы сердца.",2021-05-02,2021-05-02,3.91,Temporarily Unavailable
81,Пиво безалкогольное,6063,783,Напитки,"Отличается высоким содержанием рутина, флавоноида, укрепляющего сосуды и улучшающего кровообращение.",2015-06-01,2015-06-01,0.47,Cancelled
82,Ульяновская,9764,615,Напитки,Помогает поддерживать нормальный уровень сахара в крови.,2022-09-20,2022-09-20,3.67,On Backorder
83,Бумажные полотенца,8825,281,Товары для дома,"Является источником незаменимых аминокислот, необходимых для построения мышц.",2014-06-13,2014-06-13,2.55,Awaiting Payment
84,Брокколи,3672,279,Овощи,Отличается хорошей совместимостью с другими продуктами питания.,2025-02-05,2025-02-05,1.64,On Backorder
85,Папайя,2214,780,Фрукты,"Помогает поддерживать нормальный уровень апигенина, флавоноида, полезного для здоровья мозга и иммунной системы.",2018-02-10,2018-02-10,3.22,Sold
86,Чиа семена,1470,53,Бакалея,Подходит для использования в рецептах традиционной кухни разных стран.,2026-09-10,2026-09-10,2.95,Pending
87,Какао-порошок,8698,692,Бакалея,"Отличается высоким содержанием глютамина, необходимого для восстановления мышц после физических нагрузок.",2024-01-04,2024-01-04,4.56,Cancelled
88,Сок томатный,9405,307,Напитки,Отличается способностью повышать общий тонус и работоспособность.,2011-03-01,2011-03-01,1.98,Returned
89,Гранат,9519,997,Фрукты,Рекомендуется для ежедневного потребления в умеренных количествах.,2015-03-01,2015-03-01,4.17,Backorder
90,Пакеты для пикников,6415,292,Товары для дома,Помогает улучшить работу мозга и повысить концентрацию внимания.,2024-07-03,2024-07-03,3.53,On Backorder
91,Нектарин,1282,713,Фрукты,"Отличается высоким содержанием ненасыщенных жирных кислот, полезных для сердца.",2016-08-13,2016-08-13,2.58,Delivered
92,Масло сливочное,4761,84,Молочные продукты,"Отличается высоким содержанием олигосахаридов, полезных для здоровья кишечника и иммунной системы.",2018-03-16,2018-03-16,3.77,Sold
93,Нектарин,3355,898,Фрукты,Прошел строгий контроль качества на всех этапах производства.,2024-07-13,2024-07-13,4.7,Awaiting Review
94,Эндивий,1364,504,Овощи,Отличается низкой вероятностью возникновения побочных эффектов при употреблении.,2016-03-07,2016-03-07,1.01,Available for Pickup
95,Полотенца банные,1828,239,Товары для дома,"Помогает поддерживать нормальный уровень фитоэстрогенов, веществ, полезных для женского здоровья.",2009-03-04,2009-03-04,0.61,Available for Pickup
96,Клинская,1454,198,Напитки,Помогает поддерживать нормальное функционирование печени и желчного пузыря.,2026-06-11,2026-06-11,0.17,In Stock
97,Сельдерей сушеный,8059,179,Бакалея,Помогает поддерживать нормальный уровень холестерина в крови.,2020-08-02,2020-08-02,1.11,Awaiting Review
98,Матрасы,3720,680,Товары для дома,"Помогает поддерживать нормальный уровень аллицина, вещества, обладающего антибактериальными и противогрибковыми свойствами.",2020-01-09,2020-01-09,3.23,New
99,Мортаделла,3020,652,Мясо,"Обладает антиоксидантными свойствами, защищающими клетки от повреждений.",2018-06-02,2018-06-02,0.41,In Stock
100,Пакеты бумажные,1637,155,Товары для дома,"Отличается высоким содержанием глютамина, необходимого для восстановления мышц после физических нагрузок.",2023-01-08,2023-01-08,1.78,On Backorder
101,Эндивий,8771,919,Овощи,Может использоваться в косметических процедурах для увлажнения кожи.,2027-03-16,2027-03-16,3.39,Returned
102,Масло сливочное,3948,291,Молочные продукты,Подходит для использования в специализированных диетах и лечебных программах.,2026-08-04,2026-08-04,0.6,Out of Stock
103,"Семечки (тыквенные, подсолнечника)",3786,911,Бакалея,Помогает поддерживать нормальный уровень гомоцистеина в крови.,2022-02-01,2022-02-01,3.25,Returned
104,Петрушка сушеная,4805,208,Бакалея,"Является источником антиоксидантов, замедляющих процессы старения.",2006-03-15,2006-03-15,2.55,Sold
105,Помело,6328,128,Фрукты,Помогает улучшить работу мозга и повысить концентрацию внимания.,2024-05-05,2024-05-05,2.13,Awaiting Payment
106,Ямс,9131,82,Овощи,Способствует нормализации обмена веществ в организме.,2016-01-13,2016-01-13,1.05,Delivered
107,Разрыхлитель теста,3713,437,Бакалея,"Отличается высоким содержанием лютеолина, флавоноида, обладающего противовоспалительными свойствами.",2010-02-10,2010-02-10,3.21,On Backorder
108,Камамбер,388,859,Молочные продукты,"Отличается высоким содержанием холина, необходимого для здоровья мозга и памяти.",2029-01-07,2029-01-07,0.49,Available for Pickup
109,Каша из поленты,6363,867,Бакалея,"Помогает поддерживать нормальный уровень кортизола, гормона стресса.",2020-06-19,2020-06-19,2.95,Pending
110,Ополаскиватель для полости рта,1375,497,Товары для дома,"Обеспечивает организм необходимыми жирами, белками и углеводами.",2020-01-01,2020-01-01,1.28,Available for Pickup
111,Шелковица,7356,833,Фрукты,Идеален для перекусов между основными приемами пищи.,2015-03-04,2015-03-04,2.73,Returned
112,Пакеты для Хэллоуина,9066,506,Товары для дома,Отличается универсальностью применения в кулинарии и пищевой промышленности.,2018-02-02,2018-02-02,3.61,Returned
113,Тыква,2063,811,Овощи,Идеально подходит для употребления в чистом виде или в составе различных блюд и напитков.,2029-06-04,2029-06-04,2.11,Pending
