product_id,name,price,quantity,category,description,production_date,expiration_date,status
78,Черешня,7335,651,Фрукты,Отвечает всем современным стандартам качества и безопасности.,2000-06-06,2005-04-16,Shipping
79,Помидор,3807,689,Овощи,Способствует нормализации обмена веществ в организме.,1993-02-22,2027-01-07,Awaiting Payment
80,Томатная паста,2999,736,Бакалея,"Помогает поддерживать нормальный уровень куркумина, вещества, обладающего противовоспалительными и антиоксидантными свойствами.",2015-01-01,2016-01-01,New
82,Горчица зерновая,4630,925,Бакалея,Помогает поддерживать нормальный уровень артериального давления.,2007-11-07,2029-12-02,Pending
86,Мацони,4046,610,Молочные продукты,"Отличается высоким содержанием калия, необходимого для нормальной работы сердца.",1994-06-13,2001-07-16,Temporarily Unavailable
90,Черешня,5106,899,Фрукты,"Отличается высоким содержанием калия, необходимого для нормальной работы сердца.",2011-01-03,2016-01-03,New
92,Пахта,9540,647,Молочные продукты,"Отличается высоким содержанием антиоксидантов, защищающих клетки от окислительного стресса.",1997-01-07,2019-07-13,Awaiting Payment
94,Манго,499,738,Фрукты,"Отличается высоким содержанием кверцетина, флавоноида, обладающего антиоксидантными и противовоспалительными свойствами.",2004-02-09,2019-06-10,In Stock
96,Помело,6514,989,Фрукты,Отличается универсальностью применения в кулинарии и пищевой промышленности.,2017-03-03,2026-02-03,Sold
102,Алуштинская,119,914,Напитки,"Отличается высоким содержанием апигенина, флавоноида, полезного для здоровья мозга и иммунной системы.",2001-01-02,2017-05-12,Returned
104,Сэндвичи с ветчиной,8337,621,Мясо,"Отличается высоким содержанием оротовой кислоты, необходимой для синтеза ДНК и РНК.",2019-03-02,2024-04-11,On Backorder
106,Кольраби,7666,616,Овощи,"Помогает поддерживать нормальный уровень норадреналина, гормона, влияющего на настроение и поведение.",2009-03-05,2027-01-03,Awaiting Review
107,Грейпфрут,5185,591,Фрукты,"Отличается высоким содержанием ликопина, каротиноида, полезного для здоровья простаты и кожи.",1998-10-01,2020-02-04,Available for Pickup
110,Фенхель,155,927,Овощи,"Помогает поддерживать нормальный уровень мирицетина, флавоноида, обладающего антиоксидантными и противовоспалительными свойствами.",2006-08-01,2021-03-23,Refunded
111,Слива,8255,751,Фрукты,"Помогает поддерживать нормальный уровень даидзеина, изофлавона, полезного для здоровья женщин во время менопаузы.",2021-05-01,2027-09-04,Awaiting Payment
112,Сливки,7288,592,Молочные продукты,"Отличается высоким содержанием фтора, необходимого для здоровья зубов и костей.",1993-07-06,2017-06-19,Shipping
118,Red Bull,1622,890,Напитки,Помогает поддерживать мышечную массу и улучшает спортивные результаты.,1997-01-03,2014-01-06,Backorder
121,Куриные ножки,6114,972,Мясо,Отличается гипоаллергенностью и безопасностью для большинства людей.,2017-02-11,2020-01-11,Available for Pickup
122,Турнепс,5838,838,Овощи,Является неотъемлемой частью рациона многих народов мира.,2015-06-05,2028-08-03,Awaiting Payment
123,Тушенка,2838,876,Мясо,Подходит для использования в рационе людей с повышенным давлением.,2022-02-02,2027-03-23,Out of Stock
124,Сибирская,6582,779,Напитки,"Отличается высоким содержанием селена, важного для антиоксидантной защиты организма.",1999-01-01,2026-07-02,Pending
125,Курт,2534,586,Молочные продукты,Помогает поддерживать здоровье нервной системы благодаря содержанию магния.,1994-01-22,1995-02-05,Refunded
127,Клюква,3643,619,Фрукты,"Помогает поддерживать нормальный уровень мирицетина, флавоноида, обладающего антиоксидантными и противовоспалительными свойствами.",2018-02-01,2024-06-09,Returned
129,Спаржа,4233,913,Овощи,"Отличается высоким содержанием бета-каротина, необходимого для здоровья глаз и кожи.",2020-01-09,2026-04-02,Pending
131,Масло сливочное,5147,615,Молочные продукты,"Имеет длительный срок хранения, что позволяет всегда иметь его под рукой.",2003-05-08,2017-09-15,Temporarily Unavailable
132,Пакеты для семинара,831,873,Товары для дома,Помогает поддерживать нормальный уровень триглицеридов в крови.,2008-07-20,2010-05-02,Backorder
136,Гауда,5286,706,Молочные продукты,Помогает регулировать уровень сахара в крови и предотвращать резкие скачки инсулина.,1996-10-01,2001-09-01,Out of Stock
